section,language_type,en,ja
section1,sentence,We must respect the will of the individual.,個人の意志は尊重しなければいけない。
section1,sentence,Take it easy. I can assure you that everything will turn out fine.,気楽にいけよ。大丈夫、すべてうまくいくさ。
section1,sentence,Let go of your negative outlook on life. Always maintain a positive attitude.,悲観的な人生観を捨てて、前向きな態度を常に持ち続けよう。
section1,sentence,"You should be fair to everyone regardless of national origin, gender, or creed.",生まれた国、性別、信条に関係なく、誰に対しても公平でなくてはならない
section1,sentence,Equality is guaranteed by the Constitution.,平等は憲法で守られている。
section1,sentence,He leaned against the pillar and gazed at the Statue of Liberty.,彼は柱に寄りかかって、自由の女神像をじっとみつめた
section1,sentence,A woman passed by me giving off a subtle scent of perfume. It reminded me of my ex-girlfriend.,香水のほのかな香りを漂わせながら、一人の女性が僕の前を通り過ぎた。前の彼女のことを思い出してしまった。
section1,sentence,Natto smells awful but tastes terrific.,納豆は臭いはひどいけれど味は最高。
section1,sentence,"I'm soaked with sweat. ""Stand back! You stink. Take a shower.""",「汗でびしょぬれだよ。」「来ないで！臭いわ。シャワーを浴びて。」
section2,sentence,Bob was so beside himself that he could scarcely tell fact from fiction.,ボブはひどく取り乱していて、現実と虚構の区別がほとんどできなかった。
section2,sentence,"His new nobel, which combines prose with his gift for poetry, is going to be published.",まもなく出版になる彼の小説は、散文に彼の詩の才能を融合させたものだ。
section2,sentence,An up-to-date edition of the encyclopedia will come out next month.,来月、その百科事典の最新版が出る。
section2,sentence,Ms. Yamada translated the fascinating fairy tale into plain Japanese.,山田さんがその心ひかれるおとぎ話をやさしい日本語に翻訳 した。
section2,sentence,The following passage is quoted from a well-known fable.,以下の一説は有名な寓話からの引用です。
section2,sentence,"Are you familiar with contemporary literature? ""I know next to nothing about it.""",「現代文学に詳しいですが？」 「ほとんど知りません。」
section2,sentence,"At times I confuse ""curve"" with ""carve.""","時々、""""curve""""と""""carve""""を混同してしまう"
section2,sentence,Don't be shy. Your pronunciation is more or less correct.,恥ずかしがらないで。あなたの発音はだいたい合っています。
section2,sentence,This article contains tips for those who are eager to increase their vocabulary.,この記事には語彙を本気で増やしたいと思う人々に役立つ情報が含まれています。
section2,sentence,His latest works are on display at the city hall. They are fabulous beyond description.,彼の最新の作品が市庁舎で展示されているの｡言葉にできないほど紫敵よ。
section2,sentence,"Could you move over a little? ""Oh, sorry. I didn't realize I was taking up so much space.""",「少し詰めていただけませんか？」「あ、ごめんなさい。こんなに 場所を取っていたなんて気付きませんでした｡」
section2,sentence,"What's this ugly object? ""This is a piece of abstract art!""",「この不格好な物体は何？」 「これは抽象芸術の作品だよ！」
section3,sentence,"I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too.""",100ドル貸してくれとリッチーに頼んだら、彼は「俺もお金がないんだよ！」と言って首を横に振った。
section3,sentence,"I'm apt to buy things on impulse whenever something is on sale."" ""So am I.",「安売りをしているといつも衝動買いしてしまうたちです。」 「私も。」
section3,sentence,"As it is, ordinary people cannot afford to purchase such luxuries.",実際のところ、普通の人々にはそんな贅沢品を購入する余裕はない。
section3,sentence,"As we anticipated, the unemployment rate has risen three quarters in a row.",予期していたとおり、失業率は3四半期連続で上昇した。
